City,Country,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Date
Port Lincoln,AU,-34.73,135.87,52.3,54,0,18.21,1595534587
Sawākin,SD,19.11,37.33,92.89,46,0,2.86,1595534588
Kavieng,PG,-2.57,150.8,82.72,74,17,7.05,1595534567
Cayenne,GF,4.93,-52.33,82.4,74,20,6.93,1595534529
Damaturu,NG,11.75,11.96,81.57,66,26,12.46,1595534588
Abalak,RU,58.13,68.59,52.07,78,0,4.41,1595534588
Rāichūr,IN,16.2,77.37,76.86,82,100,4.9,1595534589
Aklavik,CA,68.22,-135.01,59.0,54,40,12.75,1595534404
Jalalabad,AF,34.43,70.45,89.6,46,1,3.47,1595534589
Kumluca,TR,36.37,30.29,84.52,43,0,4.76,1595534589
Klaksvík,FO,62.23,-6.59,50.0,93,60,5.82,1595534590
Mountain Home,US,43.13,-115.69,86.0,28,1,7.23,1595534389
Saldanha,ZA,-33.01,17.94,59.0,72,0,1.12,1595534556
Río Bueno,CL,-40.32,-72.97,50.0,53,0,9.17,1595534590
Caçapava do Sul,BR,-30.51,-53.49,69.26,91,100,4.16,1595534590
Saint-Philippe,RE,-21.36,55.77,66.2,68,40,19.46,1595534557
Hastings,GB,50.86,0.57,66.0,80,98,5.99,1595534504
Curvelo,BR,-18.76,-44.43,78.58,31,0,7.34,1595534429
Tarko-Sale,RU,64.92,77.78,48.0,84,71,13.15,1595534591
Hithadhoo,MV,-0.6,73.08,83.35,66,61,3.04,1595534565
Imbituba,BR,-28.24,-48.67,78.8,41,44,11.41,1595534440
Mount Isa,AU,-20.73,139.5,48.2,66,0,10.74,1595534418
Coos Bay,US,43.37,-124.22,70.0,82,90,11.41,1595534414
Saskylakh,RU,71.92,114.08,49.46,94,87,5.44,1595534592
Pangnirtung,CA,66.15,-65.71,51.8,81,90,11.41,1595534593
Mar del Plata,AR,-38.0,-57.56,55.99,100,90,9.17,1595534593
Cape Town,ZA,-33.93,18.42,55.99,93,0,3.36,1595534457
Bluff,NZ,-46.6,168.33,39.0,83,96,3.0,1595534558
Ostrovnoy,RU,68.05,39.51,62.33,84,100,9.86,1595534593
Thompson,CA,55.74,-97.86,78.8,65,75,9.17,1595534594
Souillac,MU,-20.52,57.52,68.0,68,75,18.34,1595534594
Ancud,CL,-41.87,-73.82,46.4,61,0,6.93,1595534594
Toowoomba,AU,-27.55,151.97,48.2,100,90,8.05,1595534410
Bengkulu,ID,-3.8,102.27,75.2,88,100,4.5,1595534595
Padang,ID,-0.95,100.35,77.16,77,100,4.14,1595534595
Otradnoye,RU,59.78,30.82,53.6,76,20,6.71,1595534595
Broome,US,42.25,-75.83,75.0,88,90,14.99,1595534595
Norman Wells,CA,65.28,-126.83,60.8,63,75,11.41,1595534362
Worms,DE,49.64,8.36,73.99,47,90,1.01,1595534596
Vanimo,PG,-2.67,141.3,77.85,82,13,5.1,1595534596
Katsuura,JP,35.13,140.3,73.0,94,100,0.29,1595534596
Ilulissat,GL,69.22,-51.1,53.6,62,75,3.36,1595534597
Yellowknife,CA,62.46,-114.35,61.0,87,90,13.87,1595534568
Palma de Mallorca,ES,39.57,2.65,81.0,69,0,3.36,1595534570
Constitución,CL,-35.33,-72.42,52.02,71,42,3.02,1595534597
Avarua,CK,-21.21,-159.78,73.4,100,6,3.36,1595534597
Ishigaki,JP,24.34,124.16,85.1,77,80,12.21,1595534403
St. George's,GD,12.06,-61.75,87.8,66,20,20.8,1595534352
Waddān,LY,29.16,16.14,80.19,35,0,17.83,1595534598
Quetigny,FR,47.32,5.12,77.0,31,95,4.7,1595534598
Chokurdakh,RU,70.63,147.92,68.07,59,54,5.48,1595534566
Los Llanos de Aridane,ES,28.66,-17.92,73.4,73,20,17.22,1595534599
Anadyr,RU,64.75,177.48,53.6,81,98,4.47,1595534403
Kissamos,GR,35.49,23.66,77.0,78,0,6.85,1595534599
Rolla,US,37.95,-91.77,91.99,52,75,2.55,1595534599
Srednekolymsk,RU,67.45,153.68,74.8,43,95,6.93,1595534600
Tekkali,IN,18.62,84.23,78.01,85,100,4.97,1595534600
Alexandria,EG,31.22,29.96,78.8,83,40,11.41,1595534600
Kharan,PK,28.58,65.42,86.5,34,0,10.04,1595534600
Cavalcante,BR,-13.8,-47.46,80.89,27,0,6.02,1595534600
Tuktoyaktuk,CA,69.45,-133.04,55.4,58,75,16.11,1595534601
Husavik,IS,66.04,-17.34,50.0,66,75,14.99,1595534601
Sarangani,PH,5.4,125.46,83.95,73,88,8.81,1595534414
Cherskiy,RU,68.75,161.3,65.03,66,17,8.75,1595534566
Coyhaique,CL,-45.58,-72.07,14.0,85,90,1.12,1595534602
Muros,ES,42.78,-9.06,68.0,69,84,5.01,1595534602
Alcañiz,ES,41.05,-0.13,77.0,43,36,1.99,1595534602
Port Hedland,AU,-20.32,118.57,59.0,77,0,6.93,1595534413
Arraial do Cabo,BR,-22.97,-42.03,78.8,61,12,14.99,1595534405
Codrington,AU,-38.27,141.97,37.8,90,100,9.04,1595534476
Kapaa,US,22.08,-159.32,82.99,74,40,13.87,1595534556
Castro,BR,-24.79,-50.01,68.63,62,1,4.54,1595534422
Ban Tak,TH,17.04,99.08,76.5,85,100,3.65,1595534603
Shillong,IN,25.57,91.88,64.49,100,100,4.07,1595534421
Jamestown,US,42.1,-79.24,81.0,61,20,10.29,1595534604
Utuado,PR,18.27,-66.7,88.0,75,70,8.01,1595534604
Barabai,ID,-2.58,115.38,72.86,93,80,0.94,1595534604
Garoowe,SO,8.41,48.48,82.54,43,99,19.51,1595534605
Ranau,MY,5.95,116.66,77.0,94,20,2.24,1595534605
Grindavik,IS,63.84,-22.43,53.6,66,20,21.92,1595534565
Iqaluit,CA,63.75,-68.51,50.0,81,75,4.7,1595534605
Nome,US,64.5,-165.41,46.4,87,90,9.17,1595534341
Kiryat Gat,IL,31.61,34.76,80.01,62,0,1.61,1595534606
Kamenka,RU,51.32,42.77,61.0,61,43,4.92,1595534606
Paulo Ramos,BR,-4.22,-45.18,87.1,53,58,1.83,1595534606
San Cristobal,VE,7.77,-72.22,87.8,43,75,17.22,1595534607
San Jose,US,37.34,-121.89,82.0,44,0,3.06,1595534522
Hasaki,JP,35.73,140.83,69.01,100,75,2.24,1595534607
Ribeira Grande,PT,38.52,-28.7,73.4,64,40,5.82,1595534559
Manacor,ES,39.57,3.21,80.6,65,0,4.7,1595534607
Perelyub,RU,51.87,50.37,65.05,75,0,11.59,1595534608
Kruisfontein,ZA,-34.0,24.73,58.01,40,0,3.83,1595534594
Willowmore,ZA,-33.29,23.49,54.46,37,0,2.68,1595534608
New Norfolk,AU,-42.78,147.06,39.0,86,98,2.13,1595534507
Ferrières,BE,50.4,5.61,71.6,43,97,4.7,1595534608
Pauini,BR,-7.71,-66.98,95.92,30,66,1.7,1595534609
Saýat,TM,38.78,63.88,89.6,29,40,9.17,1595534609
Yacuiba,BO,-22.04,-63.68,53.6,93,90,5.82,1595534609
George Town,MY,5.41,100.34,80.6,88,20,2.24,1595534609
Nevers,FR,46.99,3.16,70.0,39,100,4.18,1595534609
Kaeo,NZ,-35.1,173.78,48.0,3,5,5.01,1595534610
Butaritari,KI,3.07,172.79,82.17,79,21,15.37,1595534565
Mamburao,PH,13.25,120.67,77.45,79,100,3.38,1595534610
Diego de Almagro,CL,-26.37,-70.05,58.66,31,0,11.34,1595534611
Porto Empedocle,IT,37.29,13.53,79.0,41,0,3.85,1595534611
Nyurba,RU,63.28,118.33,57.34,88,26,1.79,1595534611
Zhigansk,RU,66.77,123.37,56.86,86,1,10.27,1595534611
Raja,SS,8.46,25.68,71.64,84,96,4.21,1595534611
Nikolskoye,RU,59.7,30.79,53.6,76,20,6.71,1595534558
Longyearbyen,SJ,78.22,15.64,48.2,87,75,4.7,1595534612
Conceição do Araguaia,BR,-8.26,-49.26,93.2,32,99,10.29,1595534612
Tautira,PF,-17.73,-149.15,78.8,74,40,4.7,1595534612
Prince Albert,CA,53.2,-105.77,75.2,83,90,11.41,1595534419
Mareeba,AU,-17.0,145.43,66.2,82,90,5.82,1595534613
Yulara,AU,-25.24,130.99,41.0,65,0,4.7,1595534613
Bellview,US,30.46,-87.31,84.99,78,90,14.99,1595534509
Saint Paul Harbor,US,57.79,-152.41,57.2,71,1,1.43,1595534566
Ucluelet,CA,48.93,-125.55,61.0,87,90,8.05,1595534415
Vicksburg,US,32.35,-90.88,93.2,55,20,8.05,1595534614
Puerto Maldonado,PE,-12.6,-69.18,87.8,62,75,3.36,1595534614
Rassvet,RU,46.83,40.75,65.71,42,80,7.27,1595534614
Krasnosel'kup,RU,65.7,82.47,48.06,73,12,13.71,1595534615
Kangaatsiaq,GL,68.31,-53.46,50.83,71,41,7.94,1595534615
Leningradskiy,RU,69.38,178.42,47.14,69,50,13.8,1595534615
Alofi,NU,-19.06,-169.92,73.4,85,90,10.29,1595534615
Viedma,AR,-40.81,-63.0,45.0,93,100,11.01,1595534616
Morehead,US,37.27,-87.18,89.6,66,75,3.36,1595534616
Qaanaaq,GL,77.48,-69.36,48.65,52,0,1.45,1595534567
Kargil,IN,34.57,76.1,59.5,42,0,5.86,1595534616
Atar,MR,20.52,-13.05,102.0,22,0,17.54,1595534616
Vostok,RU,46.49,135.88,57.27,100,100,1.77,1595534617
Mayor Pablo Lagerenza,PY,-19.93,-60.77,92.75,23,2,5.17,1595534617
Kuruman,ZA,-27.45,23.43,45.0,37,0,8.66,1595534407
Brae,GB,60.4,-1.35,57.2,82,75,12.75,1595534363
Saint-Pierre,RE,-21.34,55.48,66.2,68,40,19.46,1595534402
Freeport,US,40.66,-73.58,89.01,62,1,14.99,1595534618
Caucaia,BR,-3.74,-38.65,84.2,58,75,17.22,1595534618
Lincoln,US,40.8,-96.67,91.99,55,40,16.11,1595534843
Ternate,ID,0.8,127.4,79.2,80,11,3.15,1595534618
São João da Barra,BR,-21.64,-41.05,80.6,47,0,16.11,1595534565
Salalah,OM,17.02,54.09,80.6,88,40,6.93,1595534619
Kovdor,RU,67.57,30.48,56.89,89,60,8.57,1595534619
Ichinoseki,JP,38.92,141.13,64.44,92,100,2.26,1595534619
Alice Springs,AU,-23.7,133.88,37.4,74,0,4.7,1595534373
Mabaruma,GY,8.2,-59.78,83.43,76,55,5.46,1595534620
Buin,CL,-33.73,-70.75,53.6,46,40,4.7,1595534620
Springfield,US,37.22,-93.3,91.99,55,75,9.17,1595534339
East London,ZA,-33.02,27.91,64.26,47,0,8.99,1595534620
Lensk,RU,60.73,114.93,57.65,86,90,3.49,1595534620
Samut Prakan,TH,13.6,100.6,84.2,88,20,4.7,1595534621
Airai,TL,-8.93,125.41,52.14,70,46,2.71,1595534621
Tefé,BR,-3.35,-64.71,84.2,83,75,4.7,1595534410
Sarkand,KZ,45.41,79.92,67.06,36,1,7.83,1595534621
Timaru,NZ,-44.4,171.25,37.99,35,0,5.3,1595534404
Killybegs,IE,54.63,-8.45,57.2,87,90,8.05,1595534622
Pārvatipuram,IN,18.78,83.43,76.86,85,100,1.59,1595534622
Isangel,VU,-19.55,169.27,71.6,94,90,15.61,1595534622
Kumul,CN,42.8,93.45,77.27,44,100,3.78,1595534622
Yangi Marg`ilon,UZ,40.43,71.72,80.6,34,9,4.7,1595534623
Geraldton,AU,-28.77,114.6,42.8,93,0,8.05,1595534623
Hofn,IS,64.25,-15.21,48.34,78,96,12.17,1595534623
Porto-Novo,BJ,6.5,2.6,77.0,94,20,12.75,1595534587
Lagoa,PT,39.05,-27.98,70.07,69,0,4.16,1595534623
Flinders,AU,-34.58,150.86,48.0,87,87,1.01,1595534552
Ayan,RU,56.45,138.17,53.24,77,42,4.43,1595534624
Zhuangyuan,CN,37.3,120.83,70.0,84,8,13.09,1595534624
Saint George,US,37.1,-113.58,95.0,20,1,5.82,1595534406
Zunyi,CN,27.69,106.91,70.34,94,58,3.47,1595534624
Distrikt Brokopondo,SR,4.75,-55.17,85.89,61,52,3.98,1595534625
Olafsvik,IS,64.89,-23.71,48.34,70,1,22.57,1595534625
Sambava,MG,-14.27,50.17,69.93,75,68,19.73,1595534625
Uribia,CO,11.71,-72.27,93.79,39,38,20.22,1595534626
Kemijärvi,FI,66.71,27.43,57.07,90,91,8.81,1595534626
Ixtapa,MX,20.7,-105.2,90.0,74,75,8.05,1595534544
Esim,GH,4.87,-2.24,75.02,87,40,8.34,1595534627
Danshui,CN,22.8,114.47,86.0,92,98,1.79,1595534627
Amuntai,ID,-2.42,115.25,72.68,99,76,1.43,1595534627
Casa Nova,BR,-9.42,-41.13,86.0,33,20,12.75,1595534627
Kiknur,RU,57.3,47.2,55.92,93,99,7.38,1595534628
Virginia Beach,US,36.85,-75.98,84.2,74,90,11.63,1595534331
Sørland,NO,67.67,12.69,50.0,93,75,12.75,1595534628
Torbay,CA,47.67,-52.73,73.99,49,75,16.11,1595534628
Deputatsky,RU,69.3,139.9,71.55,48,100,1.3,1595534628
Guasdualito,VE,7.24,-70.73,82.4,78,75,4.47,1595534629
Pindushi,RU,62.92,34.58,55.74,88,100,3.71,1595534629
Staryy Nadym,RU,65.61,72.68,46.09,79,0,10.31,1595534629
Baykit,RU,61.67,96.37,49.51,89,100,3.56,1595534629
Pirovskoye,RU,57.63,92.27,45.63,90,5,5.5,1595534630
Sitka,US,57.05,-135.33,55.4,93,75,1.48,1595534338
Progreso,MX,21.28,-89.67,96.01,52,75,5.82,1595534630
Konstantinovka,RU,49.62,127.98,65.25,92,100,5.39,1595534630
Sandwick,GB,60.0,-1.25,55.4,87,40,12.75,1595534630
Ketchikan,US,55.34,-131.65,55.4,100,90,9.17,1595534631
Matsudo,JP,35.78,139.9,77.0,94,75,0.89,1595534631
Palmer,US,42.16,-72.33,82.0,88,75,6.93,1595534631
Ankang,CN,32.68,109.02,66.99,85,100,4.0,1595534631
Rio Branco do Sul,BR,-25.19,-49.31,75.2,44,12,2.24,1595534608
Riyadh,SA,24.69,46.72,96.8,32,2,3.36,1595534513
Bandarbeyla,SO,9.49,50.81,75.96,81,20,31.05,1595534632
Severo-Kuril'sk,RU,50.68,156.12,49.24,92,100,3.06,1595534632
Vila Velha,BR,-20.33,-40.29,78.01,61,20,10.29,1595534632
Río Gallegos,AR,-51.62,-69.22,32.0,92,100,8.05,1595534632
Brownsville,US,25.9,-97.5,93.2,56,40,12.75,1595534633
Lalibela,ET,12.03,39.03,59.61,86,99,2.3,1595534633
Esperance,AU,-33.87,121.9,46.4,87,40,6.93,1595534633
Arman',RU,59.7,150.17,59.54,71,99,3.44,1595534633
Suoyarvi,RU,62.08,32.35,50.47,97,56,4.68,1595534633
Oistins,BB,13.07,-59.53,87.8,58,40,16.11,1595534634
Inta,RU,66.03,60.17,56.7,62,0,11.61,1595534634
Sabha,LY,27.04,14.43,81.37,19,0,9.1,1595534366
Kampot,KH,10.62,104.18,78.8,88,40,2.24,1595534634
Hambantota,LK,6.12,81.12,80.2,79,35,12.77,1595534634
Bambous Virieux,MU,-20.34,57.76,68.0,68,75,18.34,1595534457
Erenhot,CN,43.65,111.98,80.26,36,77,13.98,1595534635
Chabahar,IR,25.29,60.64,84.34,79,80,7.45,1595534635
Mayo,US,38.89,-76.51,91.99,74,20,8.66,1595534635
Bustamante,MX,26.53,-100.5,95.59,32,5,10.22,1595534635
Calatagan,PH,13.88,120.65,81.0,80,100,5.44,1595534636
Nizhniy Baskunchak,RU,48.22,46.83,74.48,39,0,12.55,1595534636
Dicabisagan,PH,17.08,122.42,79.9,81,100,3.78,1595534636
Korla,CN,41.76,86.15,70.65,56,0,10.29,1595534636
Pingzhuang,CN,42.04,119.29,72.61,52,0,3.02,1595534636
Sumbe,AO,-11.21,13.84,69.98,88,0,7.27,1595534637
San-Pédro,CI,4.75,-6.64,74.48,90,68,7.31,1595534637
Dánszentmiklós,HU,47.21,19.55,73.4,88,40,4.12,1595534637
Neftçala,AZ,39.37,49.25,78.19,63,55,3.78,1595534637
Clyde River,CA,70.47,-68.59,48.2,61,75,11.41,1595534637
Port Moresby,PG,-9.44,147.18,75.2,94,75,11.41,1595534604
Olinda,BR,-8.01,-34.86,80.6,69,40,13.87,1595534638
Manokwari,ID,-0.87,134.08,78.98,70,0,3.04,1595534638
Mandalgovi,MN,45.76,106.27,71.55,51,97,3.67,1595534638
Seydi,TM,39.48,62.91,84.65,27,3,14.92,1595534639
Mackay,AU,-21.15,149.2,60.8,93,90,5.82,1595534417
Erdenet,MN,49.03,104.08,54.64,89,100,1.52,1595534639
Chukhloma,RU,58.75,42.68,52.23,98,1,4.92,1595534639
Mogadishu,SO,2.04,45.34,76.82,73,52,23.44,1595534639
Tiksi,RU,71.69,128.87,59.07,82,86,8.03,1595534640
Bikramganj,IN,25.2,84.25,82.96,79,100,2.64,1595534640
Holetown,BB,13.19,-59.64,87.8,58,40,16.11,1595534640
Ukiah,US,39.15,-123.21,91.99,39,1,3.36,1595534885
Grand Gaube,MU,-20.01,57.66,66.99,64,3,11.99,1595534641
Biak,ID,-0.91,122.88,75.54,84,72,7.72,1595534628
Escondido,US,33.12,-117.09,80.01,56,1,3.36,1595534573
Beira,MZ,-19.84,34.84,68.0,88,75,10.29,1595534641
Mahon,ES,39.89,4.27,77.0,73,0,2.24,1595534642
Sabang,ID,5.89,95.32,81.79,73,100,4.81,1595534642
Charyshskoye,RU,51.4,83.56,55.69,81,0,5.23,1595534642
Shimoda,JP,34.67,138.95,68.0,95,99,4.65,1595534643
Acaraú,BR,-2.89,-40.12,81.95,67,87,18.37,1595534643
Coquimbo,CL,-29.95,-71.34,57.2,58,95,12.75,1595534643
Kudahuvadhoo,MV,2.67,72.89,82.72,74,100,10.76,1595534643
Otacílio Costa,BR,-27.48,-50.12,65.75,74,87,2.71,1595534643
Bira,RU,49.0,132.47,63.21,95,100,2.3,1595534644
Amahai,ID,-3.33,128.92,76.08,88,100,1.88,1595534644
Bethel,US,41.37,-73.41,84.99,66,20,12.75,1595534644
Galle,LK,6.04,80.22,79.12,84,100,11.63,1595534644
Bulgan,MN,48.81,103.53,55.0,89,99,1.52,1595534644
Narsaq,GL,60.92,-46.05,59.0,62,75,6.93,1595534645
Rincon,US,32.3,-81.24,93.99,56,75,13.87,1595534645
Kasulu,TZ,-4.58,30.1,69.8,77,5,2.77,1595534645
São Filipe,CV,14.9,-24.5,78.67,84,100,7.2,1595534645
Bayangol,RU,50.7,103.47,49.26,90,100,1.63,1595534646
Tazovsky,RU,67.47,78.7,44.2,78,0,12.95,1595534646
Vao,NC,-22.67,167.48,69.21,79,0,18.48,1595534646
Vestmannaeyjar,IS,63.44,-20.27,51.17,86,65,16.49,1595534646
Omsukchan,RU,62.53,155.8,65.59,36,98,2.98,1595534646
Road Town,VG,18.42,-64.62,87.8,70,40,10.29,1595534369
Marsh Harbour,BS,26.54,-77.06,84.22,74,59,17.31,1595534403
Tūkrah,LY,32.53,20.58,76.1,84,0,5.37,1595534647
Talnakh,RU,69.49,88.4,44.6,81,100,22.37,1595534647
Mahébourg,MU,-20.41,57.7,68.0,68,75,18.34,1595534464
Taitung City,TW,22.76,121.14,81.95,76,71,4.18,1595534648
Fortuna,US,40.6,-124.16,63.0,77,40,12.75,1595534369
Shakawe,BW,-18.37,21.85,55.15,39,0,5.75,1595534648
Kannur,IN,11.87,75.36,78.89,88,100,4.81,1595534648
Kiama,AU,-34.68,150.87,48.0,93,52,4.79,1595534648
Antofagasta,CL,-23.65,-70.4,59.0,62,20,18.34,1595534415
Tucumcari,US,35.17,-103.72,91.4,33,20,12.75,1595534570
Collie,AU,-33.37,116.15,44.01,75,0,2.3,1595534649
Bogorodsk,RU,56.1,43.52,61.0,76,20,6.71,1595534649
Kununurra,AU,-15.77,128.73,53.6,42,0,1.12,1595534561
Yerbogachën,RU,61.28,108.01,52.2,93,0,4.45,1595534467
Manicoré,BR,-5.81,-61.3,87.8,62,20,2.24,1595534650
Adrar,MR,20.5,-10.07,101.3,18,0,6.6,1595534650
Jumla,NP,29.27,82.18,59.65,69,35,1.3,1595534650
Palimanan,ID,-6.71,108.42,73.92,74,95,6.35,1595534650
Manteca,US,37.8,-121.22,84.0,44,1,8.05,1595534549
Ulladulla,AU,-35.35,150.47,46.99,100,1,6.93,1595534551
Port Elizabeth,ZA,-33.92,25.57,53.6,81,0,2.24,1595534585
Polunochnoye,RU,60.87,60.42,51.17,74,0,2.01,1595534651
Canguçu,BR,-31.39,-52.68,80.6,65,100,6.93,1595534651
Tuatapere,NZ,-46.13,167.68,39.0,83,80,3.0,1595534530
Bathsheba,BB,13.22,-59.52,87.8,58,40,16.11,1595534652
Fairbanks,US,64.84,-147.72,60.8,77,40,3.49,1595534652
Waterloo,CA,43.47,-80.52,81.0,69,40,6.93,1595534652
Cabo San Lucas,MX,22.89,-109.91,89.6,62,5,11.41,1595534400
Gouré,NE,13.98,10.27,87.78,45,70,11.01,1595534653
Faanui,PF,-16.48,-151.75,77.59,81,0,20.2,1595534653
Vágur,FO,61.47,-6.81,52.81,86,100,7.67,1595534653
Saint-Augustin,CA,51.23,-58.65,70.43,48,6,17.6,1595534653
Jaitāran,IN,26.2,73.94,88.0,58,6,12.15,1595534654
Synya,RU,65.37,58.04,59.76,65,5,5.14,1595534654
Nanortalik,GL,60.14,-45.24,47.44,90,100,7.7,1595534550
Huesca,ES,42.14,-0.41,84.2,39,8,8.05,1595534654
Sibu,MY,2.3,111.82,75.2,94,40,4.7,1595534654
Goderich,CA,43.75,-81.72,75.0,74,5,16.44,1595534463
Healdsburg,US,38.61,-122.87,79.0,68,1,5.82,1595534655
Sangmélima,CM,2.93,11.98,67.69,97,58,3.0,1595534655
Wainwright,CA,52.84,-110.86,70.32,83,95,7.45,1595534655
Belyy Yar,RU,53.6,91.39,59.0,82,2,6.71,1595534655
Hīt,IQ,33.64,42.83,99.21,10,0,8.48,1595534656
Moerai,PF,-22.43,-151.33,72.0,77,0,12.86,1595534656
Nadym,RU,65.53,72.52,45.64,79,3,10.65,1595534656
Laguna,US,38.42,-121.42,84.0,39,5,8.05,1595534625
Sur,OM,22.57,59.53,84.7,70,94,18.63,1595534656
Matara,LK,5.95,80.54,78.01,87,96,9.55,1595534554
Huarmey,PE,-10.07,-78.15,67.14,70,13,11.52,1595534657
Riberalta,BO,-10.98,-66.1,93.2,41,20,9.17,1595534657
Betsiamites,CA,48.94,-68.65,71.6,56,75,6.93,1595534657
Kloulklubed,PW,7.04,134.26,77.0,94,75,4.27,1595534657
Cheb,CZ,50.08,12.37,64.0,82,100,1.01,1595534557
Port Hardy,CA,50.7,-127.42,62.6,77,75,5.82,1595534556
Najrān,SA,17.49,44.13,89.6,33,40,16.11,1595534658
Karratha,AU,-20.74,116.85,68.43,47,0,5.77,1595534658
Namatanai,PG,-3.67,152.43,79.27,83,5,7.27,1595534659
Lata,PT,40.16,-8.33,77.0,73,0,1.99,1595534659
Okhotsk,RU,59.38,143.3,57.81,81,88,1.12,1595534659
La Seyne-sur-Mer,FR,43.1,5.88,79.0,74,92,10.0,1595534659
Chui,UY,-33.7,-53.46,70.12,85,100,6.15,1595534660
Acapulco de Juárez,MX,16.86,-99.89,86.0,79,40,8.05,1595534558
San Patricio,MX,19.22,-104.7,84.2,83,75,6.93,1595534559
Itarema,BR,-2.92,-39.92,81.43,67,50,17.81,1595534630
Dingle,PH,11.0,122.67,76.86,84,100,3.49,1595534643
Pozo Colorado,PY,-23.49,-58.8,89.49,27,0,6.38,1595534661
Hay River,CA,60.82,-115.8,59.0,82,90,16.11,1595534429
Yendi,GH,9.44,-0.01,75.67,92,100,4.68,1595534661
Jamiltepec,MX,16.28,-97.82,90.21,46,17,6.38,1595534661
Petropavlovka,RU,50.61,105.32,55.24,80,26,2.91,1595534661
Francistown,BW,-21.17,27.51,55.4,50,0,10.29,1595534662
Lüderitz,NA,-26.65,15.16,69.8,37,0,2.24,1595534647
Vardø,NO,70.37,31.11,10.4,100,75,13.87,1595534662
São José da Coroa Grande,BR,-8.9,-35.15,75.97,76,63,10.25,1595534662
Tateyama,JP,34.98,139.87,73.0,94,99,2.15,1595534663
Silopi,TR,37.25,42.47,87.8,19,0,5.82,1595534663
Acajutla,SV,13.59,-89.83,86.0,62,20,2.24,1595534663
Neepawa,CA,50.23,-99.47,73.4,78,75,14.99,1595534538
Kavaratti,IN,10.57,72.64,81.79,82,100,16.11,1595534663
Ningxiang,CN,37.34,111.21,61.3,79,2,4.76,1595534664
Pitimbu,BR,-7.47,-34.81,80.6,69,20,13.87,1595534664
Bloemfontein,ZA,-29.12,26.21,37.4,40,0,3.36,1595534664
Bariloche,AR,-41.15,-71.31,28.4,74,20,6.93,1595534612
Samfya,ZM,-11.36,29.56,59.72,53,0,12.21,1595534665
Sonqor,IR,34.78,47.6,86.0,12,0,6.93,1595534399
Myitkyina,MM,25.38,97.4,73.2,92,100,1.52,1595534665
Matagami,CA,49.75,-77.63,78.8,34,1,6.02,1595534665
Troitsko-Pechorsk,RU,62.71,56.2,59.95,54,100,6.73,1595534666
Novochernorechenskiy,RU,56.27,91.08,45.34,93,0,2.8,1595534666
Edd,ER,13.93,41.69,92.12,55,88,1.43,1595534666
Maceió,BR,-9.67,-35.74,80.6,57,20,10.29,1595534465
